               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.016893,           0.0058625,          0.00047098,             0.99998,                   1,               0.995,             0.91718,           0.0084865,           0.0029872,          0.00028333,           0.0076679,           0.0076679,           0.0076679
                  36,            0.017814,           0.0058333,          0.00044276,                   1,                   1,               0.995,             0.92573,            0.005657,           0.0030583,          0.00019615,            0.007543,            0.007543,            0.007543
                  37,            0.018313,           0.0058523,          0.00040006,             0.99999,                   1,               0.995,             0.88752,           0.0075225,           0.0031826,          0.00020924,            0.007416,            0.007416,            0.007416
                  38,            0.016888,           0.0056545,          0.00044793,             0.99998,                   1,               0.995,             0.93752,            0.005908,           0.0027788,          0.00027622,           0.0072872,           0.0072872,           0.0072872
                  39,            0.017576,           0.0057685,          0.00042814,             0.99998,                   1,               0.995,             0.88609,           0.0082584,           0.0028474,          0.00016943,           0.0071566,           0.0071566,           0.0071566
                  40,            0.017187,           0.0057748,          0.00042776,             0.99998,                   1,               0.995,             0.83874,           0.0087814,           0.0036946,          0.00017359,           0.0070243,           0.0070243,           0.0070243
                  41,            0.017187,           0.0056604,          0.00041665,                   1,             0.99998,               0.995,                0.92,           0.0069321,           0.0029607,          0.00021271,           0.0068906,           0.0068906,           0.0068906
                  42,            0.017056,           0.0058274,          0.00037165,             0.99999,                   1,               0.995,             0.90244,            0.005941,           0.0031453,          0.00012976,           0.0067555,           0.0067555,           0.0067555
                  43,            0.016068,           0.0055001,          0.00035537,                   1,                   1,               0.995,             0.91217,           0.0064433,            0.003072,          0.00018407,           0.0066191,           0.0066191,           0.0066191
                  44,            0.015784,           0.0055686,          0.00037435,                   1,                   1,               0.995,             0.88948,           0.0077023,           0.0027146,          0.00013833,           0.0064816,           0.0064816,           0.0064816
                  45,            0.015423,           0.0053126,          0.00034378,                   1,                   1,               0.995,             0.93902,           0.0049822,           0.0026022,          0.00017553,           0.0063432,           0.0063432,           0.0063432
                  46,            0.015975,           0.0055849,          0.00035474,                   1,                   1,               0.995,             0.90543,           0.0057254,           0.0026424,           0.0001754,            0.006204,            0.006204,            0.006204
                  47,            0.015758,           0.0054697,          0.00040286,                   1,                   1,               0.995,             0.88662,           0.0069585,           0.0027236,          0.00019379,            0.006064,            0.006064,            0.006064
                  48,            0.015051,           0.0053796,          0.00036323,                   1,                   1,               0.995,              0.9536,           0.0056592,           0.0025146,          0.00016494,           0.0059235,           0.0059235,           0.0059235
                  49,            0.014382,           0.0052572,          0.00034822,                   1,                   1,               0.995,             0.93381,           0.0052407,            0.002698,          0.00022393,           0.0057826,           0.0057826,           0.0057826
                  50,            0.014325,           0.0054414,          0.00033938,             0.99999,                   1,               0.995,              0.9352,           0.0062275,           0.0027841,           0.0001778,           0.0056413,           0.0056413,           0.0056413
                  51,            0.014462,           0.0052435,          0.00029605,                   1,                   1,               0.995,             0.89528,           0.0056865,           0.0025903,          0.00015401,              0.0055,              0.0055,              0.0055
                  52,             0.01416,           0.0050491,           0.0003193,                   1,                   1,               0.995,             0.86155,           0.0084925,            0.002936,          0.00012766,           0.0053587,           0.0053587,           0.0053587
                  53,            0.013771,           0.0051686,          0.00026803,                   1,                   1,               0.995,             0.93253,           0.0051305,           0.0026445,          0.00016553,           0.0052174,           0.0052174,           0.0052174
                  54,            0.013642,           0.0050893,          0.00027996,             0.99999,                   1,               0.995,             0.92649,           0.0058155,           0.0027932,          0.00013815,           0.0050765,           0.0050765,           0.0050765
                  55,            0.013588,           0.0049547,          0.00028622,                   1,                   1,               0.995,              0.9392,           0.0047158,           0.0023525,          0.00014489,            0.004936,            0.004936,            0.004936
                  56,            0.013708,           0.0051562,          0.00027659,             0.99999,                   1,               0.995,             0.94747,           0.0048259,           0.0023168,          0.00011364,            0.004796,            0.004796,            0.004796
                  57,            0.012806,           0.0049442,          0.00022258,             0.99999,                   1,               0.995,             0.94758,           0.0047517,           0.0022909,          0.00010913,           0.0046568,           0.0046568,           0.0046568
                  58,             0.01275,           0.0048553,           0.0002204,             0.99999,                   1,               0.995,             0.95462,            0.004411,           0.0022974,          0.00011002,           0.0045184,           0.0045184,           0.0045184
                  59,            0.012698,           0.0049352,          0.00022372,             0.99999,                   1,               0.995,             0.94348,           0.0049976,           0.0022008,           0.0001225,           0.0043809,           0.0043809,           0.0043809
                  60,            0.012979,           0.0049927,          0.00028487,             0.99999,                   1,               0.995,             0.93923,           0.0047209,           0.0023412,          0.00015653,           0.0042445,           0.0042445,           0.0042445
                  61,            0.012396,           0.0049369,          0.00021811,             0.99999,                   1,               0.995,             0.95296,           0.0045606,           0.0022531,          0.00010226,           0.0041094,           0.0041094,           0.0041094
                  62,            0.012364,           0.0047268,          0.00019503,                   1,                   1,               0.995,             0.94689,           0.0052118,           0.0021453,          9.3539e-05,           0.0039757,           0.0039757,           0.0039757
                  63,            0.012296,           0.0048028,          0.00020803,                   1,             0.99998,               0.995,             0.93876,           0.0051115,           0.0020791,          0.00010048,           0.0038434,           0.0038434,           0.0038434
                  64,            0.011863,            0.004819,          0.00020213,             0.99999,                   1,               0.995,              0.9277,           0.0053309,           0.0023371,          8.9427e-05,           0.0037128,           0.0037128,           0.0037128
                  65,            0.011522,           0.0046496,           0.0001798,                   1,                   1,               0.995,             0.94311,           0.0049642,           0.0023705,          8.9216e-05,            0.003584,            0.003584,            0.003584
                  66,            0.011147,           0.0045865,          0.00018227,             0.99999,                   1,               0.995,             0.95123,            0.004573,           0.0021003,          9.6464e-05,            0.003457,            0.003457,            0.003457
                  67,            0.011252,           0.0047834,          0.00017985,             0.99999,                   1,               0.995,             0.95811,           0.0047548,           0.0020523,          9.0909e-05,           0.0033321,           0.0033321,           0.0033321
                  68,            0.011066,           0.0045296,           0.0001557,             0.99999,                   1,               0.995,             0.96312,           0.0043759,            0.002103,          7.4232e-05,           0.0032093,           0.0032093,           0.0032093
                  69,            0.011282,           0.0044317,          0.00015765,             0.99999,                   1,               0.995,             0.95331,           0.0046777,           0.0023748,          7.8986e-05,           0.0030888,           0.0030888,           0.0030888
                  70,            0.011305,           0.0044826,          0.00018173,             0.99999,                   1,               0.995,             0.95307,           0.0044547,           0.0023444,          7.4036e-05,           0.0029706,           0.0029706,           0.0029706
                  71,            0.010883,           0.0043094,          0.00014342,             0.99999,                   1,               0.995,             0.95255,           0.0046794,           0.0019881,          7.1579e-05,            0.002855,            0.002855,            0.002855
                  72,            0.010691,           0.0045321,          0.00014098,             0.99999,                   1,               0.995,             0.96624,           0.0046237,           0.0021797,          6.5036e-05,           0.0027419,           0.0027419,           0.0027419
                  73,             0.01059,           0.0043204,          0.00014574,             0.99998,                   1,               0.995,             0.95744,           0.0043373,           0.0021723,          7.1659e-05,           0.0026316,           0.0026316,           0.0026316
                  74,            0.010599,           0.0045105,          0.00013523,                   1,                   1,               0.995,             0.95327,           0.0043252,           0.0020524,          6.9381e-05,           0.0025241,           0.0025241,           0.0025241
                  75,            0.010367,           0.0042099,          0.00012987,             0.99999,                   1,               0.995,             0.97104,            0.004032,           0.0019807,          6.4453e-05,           0.0024195,           0.0024195,           0.0024195
                  76,            0.010237,           0.0043659,          0.00012058,             0.99999,                   1,               0.995,             0.96986,           0.0039995,           0.0018137,          5.9198e-05,            0.002318,            0.002318,            0.002318
                  77,            0.010006,           0.0042805,           0.0001166,                   1,                   1,               0.995,             0.97403,           0.0038491,           0.0018038,          6.2667e-05,           0.0022196,           0.0022196,           0.0022196
                  78,            0.010102,           0.0042882,          0.00011269,             0.99999,                   1,               0.995,             0.97752,           0.0038666,           0.0019704,          7.0094e-05,           0.0021245,           0.0021245,           0.0021245
                  79,           0.0097887,           0.0041315,          0.00011718,             0.99999,                   1,               0.995,             0.98506,           0.0036561,           0.0017802,          5.5399e-05,           0.0020327,           0.0020327,           0.0020327
                  80,           0.0096353,           0.0042179,          0.00014971,             0.99999,                   1,               0.995,             0.97732,           0.0038482,           0.0018841,          5.4614e-05,           0.0019443,           0.0019443,           0.0019443
                  81,           0.0098005,           0.0043011,          0.00010285,             0.99999,                   1,               0.995,             0.97554,           0.0038963,           0.0018307,          5.5555e-05,           0.0018594,           0.0018594,           0.0018594
                  82,           0.0097753,            0.004146,          9.8059e-05,             0.99999,                   1,               0.995,             0.97403,           0.0036793,           0.0019154,          5.5812e-05,           0.0017781,           0.0017781,           0.0017781
                  83,           0.0096297,           0.0043362,          9.9921e-05,             0.99998,                   1,               0.995,             0.96839,           0.0042214,           0.0020067,          4.8691e-05,           0.0017005,           0.0017005,           0.0017005
                  84,           0.0094909,           0.0042057,          9.0219e-05,             0.99999,                   1,               0.995,             0.96958,           0.0037876,               0.002,          4.8147e-05,           0.0016267,           0.0016267,           0.0016267
